Left_Elbow,Right_Elbow,Right_Knee,Left_Knee,Right_Shoulder,Left_Shoulder,Left_Hip,Right_Hip,label
185.20928014495,186.83505601416667,177.92218424761222,180.39456036551755,167.49359158082856,168.31236463925268,50.54807258772063,53.04180945150269,1.0
148.22612448438682,164.24945012481783,171.22494439845536,172.35025662427083,186.1581075631624,193.3861121234092,54.23332654443287,61.06130135675437,1.0
161.83108408891408,170.63588426424073,178.77284403271102,179.67113031752987,185.6936511724994,194.0128980572722,47.011305072965904,50.26147560672988,1.0
164.6930678152817,168.41909840922196,184.63401138794163,185.4378891879836,195.875028473742,196.7668278037562,59.49992329679589,59.78489502602801,1.0
165.6406290899864,167.4466231257475,177.97476004036207,180.60128113298447,190.3390668574401,191.6122762197193,53.30139147249016,53.85399118522011,1.0
167.09166362324467,171.4965805886205,171.2955714294115,172.14751992080355,192.70422106664915,193.33671328261283,57.93443910553152,59.36938222238279,1.0
170.1651005279731,171.4043693590785,179.8765685616481,180.37119113625943,182.95423386912404,183.4532070982964,53.05790477876984,53.24458105969337,1.0
193.3152304369267,200.20519021108703,174.74518207969717,176.60145349240426,158.84307313774855,159.58522375256155,75.14932245808221,75.59629410525125,1.0
150.35192160865878,150.9124130083988,172.39957209148517,174.049162441328,179.26482841903933,185.8171561894129,62.003110720240784,64.05558159763699,1.0
155.0932730161307,159.4312063727873,174.63231811212026,174.95950632294324,183.7958618943024,184.7011928513308,80.3801430342784,80.9882104906376,1.0
169.4187793183497,169.54507980669308,176.77410952351036,177.54909261669584,184.03474281361105,185.86361955136667,56.38592499768966,56.91713829154235,1.0
154.04878505543783,161.9587410725673,172.21928606884416,173.0550888075673,204.6139414709569,205.5535716665585,89.65972159230681,91.52362579659048,1.0
200.32350847453,201.96244984910587,166.2742081630724,167.56673638025444,167.53558734474203,174.00927895751224,58.41222378476986,60.10723485660152,1.0
156.47720381220998,165.74578205894136,177.96011131014953,185.27573558234823,187.2285761619364,192.46421776214777,32.81786849236611,47.55795701090254,1.0
159.5533913577312,168.58011157517024,171.0493299905779,172.69077846502964,168.11691454988477,173.56364057398648,73.69965374803259,75.26020875466894,1.0
165.4454805968688,166.03284129578958,175.2193520427586,177.1148747329701,175.7337632521225,176.44192652712815,59.743667492675016,60.13695928743736,1.0
196.80594699954813,201.94328179722365,180.90116961133816,181.7587874022589,180.2342442770964,181.35763013983305,53.64074544581596,56.67636410486472,1.0
171.25757596018823,174.30920298456417,185.5050856144507,185.61646336670125,192.42650263329804,192.8485247830724,59.77066984553206,60.184378947612366,1.0
158.5110076744665,160.97480992042748,177.19797002474644,178.81586971492075,172.3466058150518,176.59082801932334,42.79392932187948,44.08669432310123,1.0
171.5656136388419,175.03599962600782,174.01686733345184,178.79774058583692,182.9187769669136,186.3588582522877,60.19599003536397,61.65509504659948,1.0
187.23247569957908,195.21576584167224,178.5004308873342,181.41698756875456,180.6908523931521,185.6023160239044,58.43895756892089,59.23788198236348,1.0
179.06537881476694,180.4351583814629,176.90866349661823,177.72163855899635,186.41892268265988,188.4889691035742,63.72472449861159,65.5966780172413,1.0
175.3548922401114,176.94837255719156,173.9307884512104,175.51324606083517,188.29627188613065,190.32575354734303,63.90639842645484,64.72866877325747,1.0
168.58474213743654,180.1912000379594,186.6814934901584,188.22050971264773,183.56330502974245,188.4599697967504,50.56589566926961,50.56684167024069,1.0
167.284035552344,174.62194747842196,179.09784842676618,179.1091102885986,182.4185365245538,185.01009756891435,58.20756522149961,58.61346080148997,1.0
162.89268001964734,175.92006384748217,176.43332630140128,178.2486107811313,192.1193964783416,194.28712271821763,58.16876758460311,61.342359864667365,1.0
186.3344852594548,188.24879969219788,182.6609728095688,184.4418003631384,160.32948094441593,162.16700758569854,62.55342435635782,65.92242991913552,1.0
193.0672851212811,195.1473557256529,181.03078806137648,182.16912170627177,176.431833096212,177.12960182226564,51.74293164653543,53.93222706873304,1.0
161.93475426521474,169.20467865263987,180.2845159568932,180.3112474733252,171.7778730132975,175.87863967102552,43.042142329688055,44.02073765707282,1.0
187.72641584643188,189.92922825358863,161.17812823790553,163.6683906525073,164.0328606365303,164.7387997246654,59.69031445886156,62.02692988383865,1.0
189.9100448915208,194.8205275737268,182.90491025269336,183.98466823083828,168.8564340641626,169.01376807608946,50.41827511589043,51.27866508671661,1.0
172.19261278501062,188.43113365893333,181.5493447699037,181.7847746714457,174.0896634146425,179.1153794140278,46.30626411858295,49.27326100988845,1.0
158.53147634745525,163.4951422890679,178.10833013642332,180.2752868423103,186.91250203621703,188.38260694370243,58.67644243439216,61.333144157610015,1.0
192.32753494849504,195.98528523769647,180.4668175066775,182.39444235485792,172.4583034088475,173.6157939334905,70.7743727046141,72.96838226519482,1.0
195.77115175901315,203.0290765217279,186.43163167011892,187.13501727419467,165.37585202615622,169.791983690065,54.52303306384318,56.78736033266246,1.0
152.4223665989586,155.05989721622282,173.16215915083745,174.9144519814793,159.09840850146676,164.01681989324763,40.86779437674716,43.65654904027363,1.0
156.5903500250997,166.52136170762537,173.0485662077832,173.3201527908751,187.78025996967412,190.59536336562428,78.23321948926738,78.24269753606728,1.0
255.6711619338636,260.65708481542066,180.5894624280866,181.8901315609496,103.028485556682,114.48437692932973,218.59562434868067,225.81462820684044,2.0
146.2683532691726,169.92995460404325,179.337830368222,184.50369938138863,203.34882322594092,255.7324641225656,102.40949962961471,105.83903205951528,2.0
283.3480129628616,294.0646639724568,195.68014953058287,198.979247334547,95.5117262637477,95.77852767401328,221.7637633063348,225.64135257366485,2.0
152.45612191477494,201.0996356337093,168.07654898956778,168.4492173990149,198.2442599135016,247.2278233010041,124.94300496449593,128.8916725180933,2.0
109.1977833730678,109.33277803883176,185.2392025884689,217.4881661134612,257.010800087231,259.1675122368506,129.67699271928902,130.71942387675873,2.0
178.59699606133637,186.2845933687028,154.34478064408503,190.85908119906185,178.42331219691022,182.2491416217062,161.72329293417894,203.32634389091,2.0
248.78070608712576,250.3523361397032,167.53973306772275,182.99383990103223,109.68348678906816,121.84104241221291,187.3509023029833,189.00206513737865,2.0
198.4567121447387,204.75947621341464,173.74890922885268,176.99414544693704,101.7022212249552,118.28860790306952,226.5955042136256,239.91552555645103,2.0
230.86419089107645,233.2965134819432,185.0519378084294,185.12649806449684,112.31409279549057,124.71823443256572,230.11192467594924,235.6252962922289,2.0
177.22222626579483,209.6029681339472,201.6992660803096,217.8795897722869,102.95177872897916,106.61201826934892,258.6490000742288,271.9507304345819,2.0
174.7693264824021,220.86762575257663,160.90288211163607,162.9906103681291,129.62637437353973,187.4590710303611,194.03005976909583,197.16960722596065,2.0
228.2339330182167,247.98183041865704,193.5975132160417,218.4755006961284,146.34619634092232,158.16186793848468,155.2069861512231,173.73177010479878,2.0
140.3859076095166,158.85853168435077,168.36178426062204,169.75282879624805,218.50745191258304,244.4314764759204,104.18226377071171,108.5990946453428,2.0
266.9352813391475,276.2422160624139,181.04388342806195,182.609862965658,167.36015943280657,168.96132911965205,196.4125046184119,196.57855751249951,2.0
19.91696718922209,271.40568928384147,215.87830549442967,223.208284728156,79.50266862922895,97.8834550358066,166.4307878118527,179.3917606244751,2.0
124.49009468930564,139.6869664983137,166.61220036636516,168.87872729431115,216.28539890234407,221.65260569540607,125.77591163197,126.8663773769066,2.0
156.78449865717798,228.3988684023442,161.95021715229524,181.9245396922465,172.89995524822658,211.5255499940153,144.29229203334262,177.07139465595125,2.0
145.5932251623494,190.43233104831785,142.90287010619986,165.40190138838253,153.9670892823114,173.0458015063371,176.0892151499868,211.13100458979488,2.0
221.5256741524336,226.0016930910984,188.3056603536127,189.0079479698548,120.13008018604502,126.50798071768055,216.89269995760736,218.19348534675248,2.0
154.33842710511652,199.6538380727728,178.77151260110347,202.75963624882027,158.846693929355,200.0017990296361,161.74866159846073,206.63035410803872,2.0
147.75845183686263,225.1980311230868,177.08159256680838,181.219688312042,156.03189698237662,200.84264796910344,175.34809685000025,189.60711245545545,2.0
141.96552282789824,201.432232752218,185.1748456961101,201.0257439073173,201.13231102051805,235.31797698587727,147.4627331866311,164.7386484313874,2.0
164.35333208889529,173.80164251413237,170.70707550811238,174.5069525498571,180.2742709420957,186.78895944476284,183.0340086023241,185.10802663841304,2.0
168.12169891201603,173.32997386066037,176.80748007624817,178.68954340070482,189.80079194964688,194.1307701248901,180.59435817970825,180.6396326736773,2.0
270.0826506777787,279.537652044138,177.298959043632,186.48150954603497,162.18253349969348,164.46305914872707,181.5241373160328,182.6990872148828,2.0
165.10775921382614,178.33296495604668,169.38231682643735,174.581123921186,195.86057543881867,211.33478474996176,153.09033615455567,157.67252375567452,2.0
139.71116272243037,213.0226836718749,179.77595944970375,189.1407281340065,164.40314540049633,198.9396943133198,166.49552278598622,180.85770802326576,2.0
198.86940197082475,203.6438075320807,199.2801932143772,247.091154850963,181.4204459887464,189.03976767198483,126.11634066306932,241.02026743641323,3.0
157.02125238963424,162.17457785018476,82.38031877412539,165.16369935152088,188.4933040447659,188.56555523641168,98.83044660222448,111.84826150769196,3.0
170.89548031914455,171.29414356945085,56.28556440820403,129.27748162490195,179.3960290303614,185.0860954301625,65.5165619579499,134.3836459108317,3.0
188.32375828988992,191.42122012825376,197.90561457109047,268.04469708098674,167.7150301614569,168.01162411409896,100.62723701377536,228.9787511099032,3.0
177.79866547177753,179.898150202153,85.36671385210852,163.8277966380161,188.288720734794,189.21338128785092,89.25681106584406,123.1558479335946,3.0
167.77101628115238,170.47576143543589,90.94249047067812,172.82335607805118,178.33124109314272,187.4438187466408,122.00526963601456,259.4118183537368,3.0
192.3093832673248,195.12629005673168,192.4668616190181,261.4991827742698,166.90226360002575,176.18857016209716,104.00990730440182,237.7930531104519,3.0
164.79839533464107,173.39442437096284,103.60898655794789,171.35521459000037,184.8787430525892,186.56290569297963,126.44210483826576,257.6553991629743,3.0
157.1658176543486,162.98316904279162,96.99070750132609,163.1710110989677,168.60890771228367,174.01645044818574,121.46044449872824,259.930696192291,3.0
170.87787113419446,173.46483435092887,100.45697736596622,160.01921559408544,178.51316568241242,181.77457544191583,137.82210691600233,255.24349039583612,3.0
187.83798868628548,188.7508541549292,195.5647077277173,280.12339978885785,159.22269426926565,165.0129270696479,104.84438782697144,244.15755262343325,3.0
167.49354791084693,175.1508722802859,53.53213399719455,138.36727481869565,197.0986903111176,197.1177549137128,59.19689525613958,130.86565086320246,3.0
185.8160211438831,188.3063263641408,75.76818622337532,146.79071446021948,162.6736728071187,171.96565677283988,88.78532812265993,242.9612717203817,3.0
